Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,IncomePerYearExp,PromotionDelay,EngagementScore,WorkloadStress,HighPerf_NoPromo,JobHopperIndex,LoyaltyScore,DissatisfactionRisk
19,1,Travel_Rarely,303,Research & Development,2,3,Life Sciences,2,Male,47,2,1,Laboratory Technician,4,Single,1102,9241,1,0,22,4,3,0,1,3,2,1,0,1,0,551.0,0,3.0,0,0,0.3333333333333333,0.5,2
44,1,Travel_Rarely,621,Research & Development,15,3,Medical,1,Female,73,3,3,Healthcare Representative,4,Married,7978,14075,1,0,11,3,4,1,10,2,3,10,7,0,5,725.2727272727273,10,3.0,0,0,0.03571428571428571,0.9090909090909091,0
47,0,Non-Travel,1169,Research & Development,14,4,Technical Degree,3,Male,64,3,2,Research Scientist,2,Married,5467,2125,8,0,18,3,3,1,16,4,4,8,7,1,7,321.5882352941176,7,2.6666666666666665,0,0,0.25806451612903225,0.47058823529411764,0
31,0,Travel_Rarely,218,Sales,7,3,Technical Degree,2,Male,100,4,2,Sales Executive,4,Married,6929,12241,4,0,11,3,2,1,10,3,2,8,7,7,7,629.9090909090909,1,2.6666666666666665,0,0,0.26666666666666666,0.7272727272727273,0
46,0,Travel_Frequently,638,Research & Development,1,3,Medical,3,Male,40,2,3,Healthcare Representative,1,Married,10673,3142,2,1,13,3,3,1,21,5,2,10,9,9,5,485.1363636363636,1,2.3333333333333335,1,0,0.06666666666666667,0.45454545454545453,1
33,0,Travel_Rarely,117,Research & Development,9,3,Medical,1,Male,60,3,1,Research Scientist,4,Married,2781,6311,0,0,13,3,2,1,15,5,3,14,10,4,10,173.8125,10,2.3333333333333335,0,0,0.0,0.875,0
38,0,Travel_Rarely,702,Sales,1,4,Life Sciences,1,Female,59,2,2,Sales Executive,4,Single,8686,12930,4,0,22,4,3,0,12,2,4,8,3,0,7,668.1538461538462,8,2.6666666666666665,0,0,0.18181818181818182,0.6153846153846154,2
36,0,Travel_Rarely,1396,Research & Development,5,2,Life Sciences,4,Male,62,3,2,Laboratory Technician,2,Single,5914,9945,8,0,16,3,4,0,16,3,4,13,11,3,7,347.88235294117646,10,3.3333333333333335,0,0,0.4,0.7647058823529411,1
46,0,Travel_Rarely,991,Human Resources,1,2,Life Sciences,4,Female,44,3,1,Human Resources,1,Single,3423,22957,6,0,12,3,3,0,10,3,4,7,6,5,7,311.1818181818182,2,2.6666666666666665,0,0,0.2,0.6363636363636364,1
41,0,Travel_Rarely,447,Research & Development,5,3,Life Sciences,2,Male,85,4,2,Healthcare Representative,2,Single,6870,15530,3,0,12,3,1,0,11,3,1,3,2,1,2,572.5,2,1.6666666666666667,0,0,0.12,0.25,1
20,0,Travel_Rarely,654,Sales,21,3,Marketing,3,Male,43,4,1,Sales Representative,4,Single,2678,5050,1,0,17,3,4,0,2,2,3,2,1,2,2,892.6666666666666,0,3.6666666666666665,0,0,0.25,0.6666666666666666,2
31,0,Travel_Rarely,1003,Sales,5,3,Technical Degree,1,Male,51,3,2,Sales Executive,3,Married,8346,20943,1,0,19,3,3,1,6,3,3,5,2,0,2,1192.2857142857142,5,2.3333333333333335,0,0,0.06666666666666667,0.7142857142857143,0
31,0,Non-Travel,976,Research & Development,3,2,Medical,3,Male,48,3,1,Research Scientist,1,Divorced,3065,3995,1,1,13,3,4,1,4,3,4,4,2,2,3,613.0,2,2.6666666666666665,0,0,0.06666666666666667,0.8,0
46,0,Travel_Rarely,1402,Sales,2,3,Marketing,3,Female,69,3,4,Manager,1,Married,17048,24097,8,0,23,4,1,0,28,2,3,26,15,15,9,587.8620689655172,11,1.6666666666666667,0,1,0.26666666666666666,0.896551724137931,1
53,0,Travel_Rarely,1070,Research & Development,3,4,Medical,3,Male,45,3,4,Research Director,3,Married,17584,21016,3,1,16,3,4,3,21,5,2,5,3,1,3,799.2727272727273,4,3.3333333333333335,1,0,0.08108108108108109,0.22727272727272727,0
24,0,Travel_Rarely,350,Research & Development,21,2,Technical Degree,3,Male,57,2,1,Laboratory Technician,1,Divorced,2296,10036,0,0,14,3,2,3,2,3,3,1,1,0,0,765.3333333333334,1,2.0,0,0,0.0,0.3333333333333333,2
52,0,Travel_Rarely,1325,Research & Development,11,4,Life Sciences,4,Female,82,3,2,Laboratory Technician,3,Married,3149,21821,8,0,20,4,2,1,9,3,3,5,2,1,4,314.9,4,3.0,0,0,0.2222222222222222,0.5,0
36,0,Travel_Frequently,1480,Research & Development,3,2,Medical,4,Male,30,3,1,Laboratory Technician,2,Single,2088,15062,4,0,12,3,3,0,13,3,2,8,7,7,2,149.14285714285714,1,3.0,0,0,0.2,0.5714285714285714,1
29,0,Travel_Rarely,1378,Research & Development,13,2,Other,4,Male,46,2,2,Laboratory Technician,2,Married,4025,23679,4,1,13,3,1,1,10,2,3,4,3,0,3,365.90909090909093,4,2.3333333333333335,0,0,0.3076923076923077,0.36363636363636365,1
28,0,Travel_Rarely,1300,Research & Development,17,2,Medical,3,Male,79,3,2,Laboratory Technician,1,Divorced,4558,13535,1,0,12,3,4,1,10,2,3,10,0,1,8,414.3636363636364,9,2.6666666666666665,0,0,0.08333333333333333,0.9090909090909091,1
42,0,Travel_Rarely,300,Research & Development,2,3,Life Sciences,1,Male,56,3,5,Manager,3,Married,18880,17312,5,0,11,3,1,0,24,2,2,22,6,4,14,755.2,18,1.6666666666666667,0,0,0.19230769230769232,0.88,1
21,0,Travel_Rarely,501,Sales,5,1,Medical,3,Male,58,3,1,Sales Representative,1,Single,2380,25479,1,1,11,3,4,0,2,6,3,2,2,1,2,793.3333333333334,1,2.6666666666666665,0,0,0.2,0.6666666666666666,1
52,1,Travel_Rarely,723,Research & Development,8,4,Medical,3,Male,85,2,2,Research Scientist,2,Married,4941,17747,2,0,15,3,1,0,11,3,2,8,2,7,7,411.75,1,2.0,0,0,0.05555555555555555,0.6666666666666666,2
22,0,Travel_Rarely,604,Research & Development,6,1,Medical,1,Male,69,3,1,Research Scientist,3,Married,2773,12145,0,0,20,4,4,0,3,3,3,2,2,2,2,693.25,0,2.6666666666666665,0,0,0.0,0.5,1
34,0,Non-Travel,697,Research & Development,3,4,Life Sciences,3,Male,40,2,1,Research Scientist,4,Married,2979,22478,3,0,17,3,4,3,6,2,3,0,0,0,0,425.57142857142856,0,3.6666666666666665,0,0,0.16666666666666666,0.0,1
36,0,Travel_Rarely,329,Sales,16,4,Marketing,3,Female,98,2,2,Sales Executive,1,Married,5647,13494,4,0,13,3,1,2,11,3,2,3,2,0,2,470.5833333333333,3,1.6666666666666667,0,0,0.2,0.25,2
33,1,Travel_Rarely,1277,Research & Development,15,1,Medical,2,Male,56,3,3,Manager,3,Married,13610,24619,7,1,12,3,4,0,15,2,4,7,6,7,7,850.625,0,3.0,0,0,0.4117647058823529,0.4375,1
22,0,Travel_Rarely,1230,Research & Development,1,2,Life Sciences,4,Male,33,2,2,Manufacturing Director,4,Married,4775,19146,6,0,22,4,1,2,4,2,1,2,2,2,2,955.0,0,3.0,0,0,1.0,0.4,1
56,0,Travel_Rarely,718,Research & Development,4,4,Technical Degree,4,Female,92,3,5,Manager,1,Divorced,19943,18575,4,0,13,3,4,1,28,2,3,5,2,4,2,687.6896551724138,1,3.0,0,0,0.1,0.1724137931034483,0
29,0,Travel_Rarely,1329,Research & Development,7,3,Life Sciences,3,Male,82,3,2,Healthcare Representative,4,Divorced,6623,4204,1,1,11,3,2,2,6,2,3,6,0,1,0,946.1428571428571,5,3.0,0,0,0.07692307692307693,0.8571428571428571,0
36,0,Travel_Rarely,884,Sales,1,4,Life Sciences,2,Female,73,3,2,Sales Executive,3,Single,6815,21447,6,0,13,3,1,0,15,5,3,1,0,0,0,425.9375,1,2.0,0,0,0.3,0.0625,1
34,0,Travel_Rarely,1239,Sales,13,4,Medical,4,Male,39,3,3,Sales Executive,3,Divorced,8628,22914,1,0,18,3,3,1,9,2,2,8,7,1,1,862.8,7,3.3333333333333335,0,0,0.05555555555555555,0.8,0
34,0,Travel_Rarely,665,Research & Development,6,4,Other,1,Female,41,3,2,Research Scientist,3,Single,4809,12482,1,0,14,3,3,0,16,3,3,16,13,2,10,282.88235294117646,14,2.3333333333333335,0,0,0.05555555555555555,0.9411764705882353,1
50,0,Travel_Rarely,989,Research & Development,7,2,Medical,2,Female,43,2,5,Research Director,3,Divorced,18740,16701,5,1,12,3,4,1,29,2,2,27,3,13,8,624.6666666666666,14,3.0,1,0,0.14705882352941177,0.9,1
38,1,Travel_Rarely,903,Research & Development,2,3,Medical,3,Male,81,3,2,Manufacturing Director,2,Married,4855,7653,4,0,11,3,1,2,7,2,3,5,2,1,4,606.875,4,2.0,0,0,0.18181818181818182,0.625,0
30,1,Travel_Rarely,740,Sales,1,3,Life Sciences,2,Male,64,2,2,Sales Executive,1,Married,9714,5323,1,0,11,3,4,1,10,4,3,10,8,6,7,883.0909090909091,4,2.3333333333333335,0,0,0.07142857142857142,0.9090909090909091,1
44,0,Travel_Rarely,1099,Sales,5,3,Marketing,2,Male,88,3,5,Manager,2,Married,18213,8751,7,0,11,3,3,1,26,5,3,22,9,3,10,674.5555555555555,19,2.3333333333333335,0,0,0.25,0.8148148148148148,0
48,0,Travel_Frequently,365,Research & Development,4,5,Medical,3,Male,89,2,4,Manager,4,Married,15202,5602,2,0,25,4,2,1,23,3,3,2,2,2,2,633.4166666666666,0,3.0,0,0,0.0625,0.08333333333333333,1
58,0,Travel_Rarely,1145,Research & Development,9,3,Medical,2,Female,75,2,1,Research Scientist,2,Married,3346,11873,4,1,20,4,2,1,9,3,2,1,0,0,0,334.6,1,2.0,1,0,0.09523809523809523,0.1,1
29,0,Non-Travel,746,Sales,2,3,Life Sciences,4,Male,61,3,2,Sales Executive,3,Married,4649,16928,1,0,14,3,1,1,4,3,2,4,3,0,2,929.8,4,2.6666666666666665,0,0,0.07692307692307693,0.8,0
34,0,Travel_Rarely,258,Sales,21,4,Life Sciences,4,Male,74,4,2,Sales Executive,4,Single,5337,19921,1,0,12,3,4,0,10,3,3,10,7,5,7,485.1818181818182,5,4.0,0,0,0.05555555555555555,0.9090909090909091,2
27,0,Non-Travel,1277,Research & Development,8,5,Life Sciences,1,Male,87,1,1,Laboratory Technician,3,Married,4621,5869,1,0,19,3,4,3,3,4,3,3,2,1,2,1155.25,2,2.6666666666666665,0,0,0.09090909090909091,0.75,1
42,0,Travel_Rarely,462,Sales,14,2,Medical,3,Female,68,2,2,Sales Executive,3,Single,6244,7824,7,0,17,3,1,0,10,6,3,5,4,0,3,567.6363636363636,5,2.3333333333333335,0,0,0.2692307692307692,0.45454545454545453,2
41,0,Travel_Frequently,1200,Research & Development,22,3,Life Sciences,4,Female,75,3,2,Research Scientist,4,Divorced,5467,13953,3,1,14,3,1,2,12,4,2,6,2,3,3,420.53846153846155,3,3.0,1,0,0.12,0.46153846153846156,1
37,0,Travel_Rarely,1189,Sales,3,3,Life Sciences,3,Male,87,3,3,Sales Executive,4,Single,7428,14506,2,0,12,3,1,0,12,3,3,5,3,1,3,571.3846153846154,4,2.6666666666666665,0,0,0.09523809523809523,0.38461538461538464,1
25,1,Travel_Rarely,1219,Research & Development,4,1,Technical Degree,4,Male,32,3,1,Laboratory Technician,4,Married,3691,4605,1,1,15,3,2,1,7,3,4,7,7,5,6,461.375,2,3.3333333333333335,0,0,0.1111111111111111,0.875,0
33,0,Travel_Frequently,1146,Sales,25,3,Medical,2,Female,82,3,2,Sales Executive,3,Married,4539,4905,1,0,12,3,1,1,10,3,2,10,7,0,1,412.6363636363636,10,2.0,0,0,0.058823529411764705,0.9090909090909091,1
32,0,Travel_Rarely,1093,Sales,6,4,Medical,2,Male,87,3,2,Sales Executive,3,Single,5010,24301,1,0,16,3,1,0,12,0,3,11,8,5,7,385.38461538461536,6,2.0,0,0,0.0625,0.8461538461538461,1
36,0,Travel_Rarely,852,Research & Development,5,4,Life Sciences,2,Female,82,2,1,Research Scientist,1,Married,3419,13072,9,1,14,3,4,1,6,3,4,1,1,0,0,488.42857142857144,1,2.3333333333333335,0,0,0.45,0.14285714285714285,1
26,1,Travel_Rarely,1449,Research & Development,16,4,Medical,1,Male,45,3,1,Laboratory Technician,2,Divorced,2373,14180,2,1,13,3,4,1,5,2,3,3,2,0,2,395.5,3,2.3333333333333335,0,0,0.2,0.5,1
40,0,Travel_Rarely,884,Research & Development,15,3,Life Sciences,1,Female,80,2,3,Manufacturing Director,3,Married,10435,25800,1,0,13,3,4,2,18,2,3,18,15,14,12,549.2105263157895,4,2.6666666666666665,0,0,0.041666666666666664,0.9473684210526315,1
39,0,Travel_Frequently,945,Research & Development,22,3,Medical,4,Female,82,3,3,Manufacturing Director,1,Single,10880,5083,1,1,13,3,3,0,21,2,3,21,6,2,8,494.54545454545456,19,2.6666666666666665,0,0,0.043478260869565216,0.9545454545454546,2
48,0,Non-Travel,1262,Research & Development,1,4,Medical,1,Male,35,4,4,Manager,4,Single,16885,16154,2,0,22,4,3,0,27,3,2,5,4,2,1,603.0357142857143,3,2.6666666666666665,0,0,0.0625,0.17857142857142858,1
32,0,Non-Travel,300,Research & Development,1,3,Life Sciences,4,Male,61,3,1,Laboratory Technician,4,Divorced,2314,9148,0,0,12,3,2,1,4,2,3,3,0,0,2,462.8,3,3.3333333333333335,0,0,0.0,0.6,0
43,0,Travel_Rarely,930,Research & Development,6,3,Medical,1,Female,73,2,2,Research Scientist,3,Single,4081,20003,1,1,14,3,1,0,20,3,1,20,7,1,8,194.33333333333334,19,1.6666666666666667,1,0,0.037037037037037035,0.9523809523809523,2
39,1,Travel_Frequently,203,Research & Development,2,3,Life Sciences,1,Male,84,3,4,Healthcare Representative,4,Divorced,12169,13547,7,0,11,3,4,3,21,4,3,18,7,11,5,553.1363636363636,7,3.0,0,0,0.30434782608695654,0.8181818181818182,0
20,1,Travel_Frequently,871,Research & Development,6,3,Life Sciences,4,Female,66,2,1,Laboratory Technician,4,Single,2926,19783,1,1,18,3,2,0,1,5,3,1,0,1,0,1463.0,0,3.3333333333333335,0,0,0.25,0.5,2
39,1,Travel_Rarely,895,Sales,5,3,Technical Degree,4,Male,56,3,2,Sales Representative,4,Married,2086,3335,3,0,14,3,3,1,19,6,4,1,0,0,0,104.3,1,3.6666666666666665,0,0,0.13043478260869565,0.05,0
34,0,Travel_Rarely,1320,Research & Development,20,3,Technical Degree,3,Female,89,4,1,Research Scientist,3,Married,2585,21643,0,0,17,3,4,0,2,5,2,1,0,0,0,861.6666666666666,1,3.3333333333333335,0,0,0.0,0.3333333333333333,2
38,0,Travel_Frequently,240,Research & Development,2,4,Life Sciences,1,Female,75,4,2,Manufacturing Director,1,Single,5980,26085,6,1,12,3,4,0,17,2,3,15,7,4,12,332.22222222222223,11,2.0,0,0,0.2727272727272727,0.8333333333333334,1
28,0,Travel_Rarely,760,Sales,2,4,Marketing,2,Female,81,3,2,Sales Executive,2,Married,4779,3698,1,1,20,4,1,0,8,2,3,8,7,7,5,531.0,1,1.6666666666666667,0,1,0.08333333333333333,0.8888888888888888,1
28,1,Travel_Rarely,1404,Research & Development,17,3,Technical Degree,3,Male,32,2,1,Laboratory Technician,4,Divorced,2367,18779,5,0,12,3,1,1,6,2,2,4,1,0,3,338.14285714285717,4,2.6666666666666665,0,0,0.4166666666666667,0.5714285714285714,2
45,0,Non-Travel,1050,Sales,9,4,Life Sciences,2,Female,65,2,2,Sales Executive,3,Married,5593,17970,1,0,13,3,4,1,15,2,3,15,10,4,12,349.5625,11,3.0,0,0,0.034482758620689655,0.9375,1
26,0,Travel_Frequently,1283,Sales,1,3,Medical,3,Male,52,2,2,Sales Executive,1,Single,4294,11148,1,0,12,3,2,0,7,2,3,7,7,0,7,536.75,7,2.0,0,0,0.1,0.875,2
36,0,Travel_Rarely,429,Research & Development,2,4,Life Sciences,3,Female,53,3,2,Manufacturing Director,2,Single,5410,2323,9,1,11,3,4,0,18,2,3,16,14,5,12,284.7368421052632,11,3.0,0,0,0.45,0.8421052631578947,1
48,0,Travel_Rarely,817,Sales,2,1,Marketing,2,Male,56,4,2,Sales Executive,2,Married,8120,18597,3,0,12,3,4,0,12,3,3,2,2,2,2,624.6153846153846,0,2.6666666666666665,0,0,0.09375,0.15384615384615385,1
43,0,Travel_Rarely,1473,Research & Development,8,4,Other,3,Female,74,3,2,Healthcare Representative,3,Divorced,4522,2227,4,1,14,3,4,0,8,3,3,5,2,0,2,502.44444444444446,5,3.3333333333333335,0,0,0.14814814814814814,0.5555555555555556,1
31,0,Travel_Rarely,1079,Sales,10,2,Medical,3,Female,86,3,2,Sales Executive,4,Divorced,6583,20115,2,1,11,3,4,1,8,2,3,5,2,1,4,731.4444444444445,4,3.6666666666666665,0,0,0.13333333333333333,0.5555555555555556,0
34,0,Travel_Frequently,735,Research & Development,22,4,Other,3,Male,86,2,2,Research Scientist,4,Married,5747,26496,1,1,15,3,2,0,16,3,3,15,10,6,11,338.05882352941177,9,3.0,0,0,0.05555555555555555,0.8823529411764706,3
47,0,Travel_Rarely,465,Research & Development,1,3,Technical Degree,1,Male,74,3,1,Research Scientist,4,Married,3420,10205,7,0,12,3,3,1,17,2,2,6,5,1,2,190.0,5,2.6666666666666665,0,0,0.22580645161290322,0.3333333333333333,0
34,0,Travel_Rarely,285,Research & Development,29,3,Medical,2,Male,86,3,2,Laboratory Technician,3,Married,5429,17491,4,0,13,3,1,2,10,1,3,8,7,7,7,493.54545454545456,1,2.0,0,0,0.2222222222222222,0.7272727272727273,1
35,0,Travel_Rarely,890,Sales,2,3,Marketing,4,Female,97,3,1,Sales Representative,4,Married,2014,9687,1,0,13,3,1,0,2,3,3,2,2,2,2,671.3333333333334,0,3.0,0,0,0.05263157894736842,0.6666666666666666,1
38,0,Travel_Rarely,1084,Research & Development,29,3,Technical Degree,4,Male,54,3,2,Manufacturing Director,4,Married,6261,4185,3,0,18,3,1,1,9,3,1,7,7,1,7,626.1,6,3.0,0,0,0.13636363636363635,0.7,1
23,0,Travel_Rarely,373,Research & Development,1,2,Life Sciences,4,Male,47,3,1,Research Scientist,3,Married,1223,16901,1,0,22,4,4,1,1,2,3,1,0,0,1,611.5,1,3.6666666666666665,0,0,0.14285714285714285,0.5,0
44,1,Travel_Frequently,920,Research & Development,24,3,Life Sciences,4,Male,43,3,1,Laboratory Technician,3,Divorced,3161,19920,3,1,22,4,4,1,19,0,1,1,0,0,0,158.05,1,3.6666666666666665,1,0,0.10714285714285714,0.05,1
29,0,Travel_Rarely,468,Research & Development,28,4,Medical,4,Female,73,2,1,Research Scientist,1,Single,3785,8489,1,0,14,3,2,0,5,3,1,5,4,0,4,630.8333333333334,5,2.3333333333333335,0,0,0.07692307692307693,0.8333333333333334,3
34,0,Travel_Rarely,971,Sales,1,3,Technical Degree,4,Male,64,2,3,Sales Executive,3,Married,7083,12288,1,1,14,3,4,0,10,3,3,10,9,8,6,643.9090909090909,2,3.6666666666666665,0,0,0.05555555555555555,0.9090909090909091,2
36,0,Non-Travel,1105,Research & Development,24,4,Life Sciences,2,Female,47,3,2,Laboratory Technician,2,Married,5674,6927,7,0,15,3,3,1,11,3,3,9,8,0,8,472.8333333333333,9,2.3333333333333335,0,0,0.35,0.75,1
55,0,Non-Travel,177,Research & Development,8,1,Medical,4,Male,37,2,4,Healthcare Representative,2,Divorced,13577,25592,1,1,15,3,4,1,34,3,3,33,9,15,0,387.9142857142857,18,3.3333333333333335,0,0,0.02564102564102564,0.9428571428571428,1
43,0,Travel_Rarely,589,Research & Development,14,2,Life Sciences,2,Male,94,3,4,Research Director,1,Married,17159,5200,6,0,24,4,3,1,22,3,3,4,1,1,0,746.0434782608696,3,2.0,0,0,0.2222222222222222,0.17391304347826086,0
32,0,Travel_Frequently,1316,Research & Development,2,2,Life Sciences,4,Female,38,3,2,Research Scientist,3,Single,4998,2338,4,1,14,3,4,0,10,2,3,8,7,0,7,454.3636363636364,8,3.6666666666666665,0,0,0.25,0.7272727272727273,1
32,0,Travel_Frequently,1318,Sales,10,4,Marketing,4,Male,79,3,2,Sales Executive,4,Single,4648,26075,8,0,13,3,3,0,4,2,4,0,0,0,0,929.6,0,3.6666666666666665,0,0,0.5,0.0,1
25,0,Travel_Rarely,883,Sales,26,1,Medical,3,Female,32,3,2,Sales Executive,4,Single,6180,22807,1,0,23,4,2,0,6,5,2,6,5,1,4,882.8571428571429,5,3.0,0,0,0.1111111111111111,0.8571428571428571,2
37,0,Travel_Rarely,674,Research & Development,13,3,Medical,1,Male,47,3,2,Research Scientist,4,Married,4285,3031,1,0,17,3,1,0,10,2,3,10,8,3,7,389.54545454545456,7,2.0,0,0,0.047619047619047616,0.9090909090909091,1
45,0,Travel_Rarely,954,Sales,2,2,Technical Degree,2,Male,46,1,2,Sales Representative,3,Single,6632,12388,0,0,13,3,1,0,9,3,3,8,7,3,1,663.2,5,2.0,0,0,0.0,0.8,2
33,0,Travel_Rarely,1198,Research & Development,1,4,Other,3,Male,100,2,1,Research Scientist,1,Single,2799,3339,3,1,11,3,2,0,6,1,3,3,2,0,2,399.85714285714283,3,2.0,0,0,0.17647058823529413,0.42857142857142855,2
31,0,Travel_Rarely,471,Research & Development,4,3,Medical,1,Female,62,4,1,Laboratory Technician,3,Divorced,3978,16031,8,0,12,3,2,1,4,0,2,2,2,2,2,795.6,0,2.0,0,0,0.5333333333333333,0.4,0
26,0,Travel_Rarely,775,Sales,29,2,Medical,1,Male,45,3,2,Sales Executive,3,Divorced,4306,4267,5,0,12,3,1,2,8,5,3,0,0,0,0,478.44444444444446,0,1.6666666666666667,0,0,0.5,0.0,1
46,0,Non-Travel,849,Sales,26,2,Life Sciences,2,Male,98,2,2,Sales Executive,2,Single,7991,25166,8,0,15,3,3,0,6,3,3,2,2,2,2,1141.5714285714287,0,2.3333333333333335,0,0,0.26666666666666666,0.2857142857142857,3
29,1,Travel_Rarely,408,Sales,23,1,Life Sciences,4,Female,45,2,3,Sales Executive,1,Married,7336,11162,1,0,13,3,1,1,11,3,1,11,8,3,10,611.3333333333334,8,2.0,0,0,0.07692307692307693,0.9166666666666666,2
21,0,Travel_Rarely,391,Research & Development,15,2,Life Sciences,3,Male,96,3,1,Research Scientist,4,Single,1232,19281,1,0,14,3,4,0,0,6,3,0,0,0,0,1232.0,0,3.6666666666666665,0,0,0.2,0.0,1
52,1,Travel_Rarely,266,Sales,2,1,Marketing,1,Female,57,1,5,Manager,4,Married,19845,25846,1,0,15,3,4,1,33,3,3,32,14,6,9,583.6764705882352,26,3.0,0,0,0.027777777777777776,0.9411764705882353,1
37,0,Travel_Rarely,1017,Research & Development,1,2,Medical,3,Female,83,2,1,Research Scientist,1,Married,3920,18697,2,0,14,3,1,1,17,2,2,3,1,0,2,217.77777777777777,3,1.6666666666666667,0,0,0.09523809523809523,0.16666666666666666,1
39,0,Travel_Rarely,867,Research & Development,9,2,Medical,1,Male,87,3,2,Manufacturing Director,1,Married,5151,12315,1,0,25,4,4,1,10,3,3,10,0,7,9,468.27272727272725,3,2.0,0,1,0.043478260869565216,0.9090909090909091,0
